geometry
"LINESTRING (-42.82075881958008 -22.9139602199683, -42.81906366348266 -22.91930640079087, -42.82547950744629 -22.92314050041929, -42.82796859741211 -22.9246424892534, -42.82642364501953 -22.92847643787553, -42.8281831741333 -22.93270551305694, -42.82994270324707 -22.93410858826405, -42.83056497573852 -22.93547212629668, -42.82974958419799 -22.9379225079605, -42.83002853393555 -22.93958241872955, -42.82487869262695 -22.94408778822021, -42.82352685928345 -22.94649849451501, -42.82277584075928 -22.94796070527945, -42.82284021377563 -22.94890915786788, -42.82530784606933 -22.95226820731837, -42.82902002334595 -22.95416504545854, -42.82925605773925 -22.95665460515569, -42.82745361328125 -22.95736589951059, -42.82217502593993 -22.95744493198579, -42.81891345977783 -22.95752396441484, -42.81482577323914 -22.9569213409771)"
"LINESTRING (-42.80034184455872 -22.95961336750835, -42.77925968170165 -22.95829452817782, -42.77361631393433 -22.95861065563112, -42.76460409164429 -22.95734614138457, -42.75353193283081 -22.95655581397721, -42.74567842483521 -22.95592354872655, -42.74070024490356 -22.95501466225122, -42.73439168930054 -22.95471828490633, -42.73046493530273 -22.95422432122188, -42.72379159927368 -22.95424407980389, -42.72186040878296 -22.95412552826855)"
"LINESTRING (-42.82075881958008 -22.91295469936734, -42.82177805900574 -22.91275458258383, -42.82302260398865 -22.9128336411015, -42.82403111457825 -22.91242846571102, -42.82524347305298 -22.91066939753477, -42.82689571380615 -22.91019503816399, -42.82764673233032 -22.90987879766137, -42.83193826675415 -22.90920678414402, -42.83575773239136 -22.90898936729288)"
"LINESTRING (-42.8411328792572 -22.91891112661926, -42.84189462661743 -22.9189704178185, -42.84229159355164 -22.91906923642626, -42.8431499004364 -22.91946451013668, -42.84408330917358 -22.92015623635553, -42.84591794013977 -22.92133216282367, -42.84644365310669 -22.92078866866557, -42.84923315048218 -22.9249191695908, -42.84914731979369 -22.9267966283819)"
"LINESTRING (-42.80121356248856 -22.90274836677591, -42.80000388622284 -22.90050983817343, -42.79962837696075 -22.89963517126409, -42.79974102973938 -22.898226797439, -42.79981613159179 -22.8968035837721, -42.79979467391968 -22.89623034071588, -42.80008435249329 -22.89529140289084, -42.80000925064087 -22.89399664638942, -42.79961228370667 -22.89326525175948)"
"LINESTRING (-42.82271146774292 -22.90707460155946, -42.82273292541504 -22.90647916567127, -42.82260149717331 -22.90561442009874, -42.82265782356262 -22.9051771038096, -42.8225103020668 -22.9047719055372, -42.82293677330017 -22.904077630073, -42.82324254512786 -22.90324745972731, -42.82322645187378 -22.90328699176376)"
"LINESTRING (-42.97991037368774 -22.95805743210292, -42.97928810119629 -22.96469596508392, -42.92766094207764 -22.96443912314221)"
